sample_index,time_ns,raw_hex,is_trigger,probe[0],probe[1],probe[2],probe[3],probe[4],probe[5],probe[6],probe[7],probe[8],probe[9],probe[10],probe[11],probe[12],probe[13],probe[14],probe[15]
175,14583.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,14666.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,14750.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178,14833.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,14916.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,15000.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,15083.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182,15166.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183,15250.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184,15333.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,15416.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186,15500.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,15583.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,15666.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,15750.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,15833.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,15916.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,16000.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,16083.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,16166.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,16250.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,16333.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197,16416.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198,16500.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,16583.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,16666.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201,16750.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,16833.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203,16916.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
204,17000.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205,17083.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,17166.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207,17250.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208,17333.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,17416.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,17500.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,17583.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,17666.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,17750.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,17833.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,17916.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216,18000.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,18083.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218,18166.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,18250.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,18333.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,18416.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,18500.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,18583.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,18666.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,18750.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,18833.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
227,18916.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228,19000.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229,19083.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230,19166.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
231,19250.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232,19333.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
233,19416.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
234,19500.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235,19583.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,19666.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,19750.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
238,19833.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
239,19916.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240,20000.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241,20083.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
242,20166.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,20250.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,20333.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245,20416.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
246,20500.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
